,municipality,unemployment_2009,unemployment_2014
199,Storfors,9.1,11.5
200,Storuman,5.8,6.3
201,Strängnäs,5.2,6.8
202,Strömstad,4.1,4.6
203,Strömsund,11.3,9.4
204,Sundbyberg,3.9,6.7
205,Sundsvall,7.2,8.1
206,Sunne,7.4,6.1
207,Surahammar,6.3,7.3
208,Svalöv,5.0,7.3
209,Svedala,3.6,4.8
210,Svenljunga,5.6,4.4
211,Säffle,7.2,10.7
212,Säter,4.5,4.8
213,Sävsjö,6.0,6.2
214,Söderhamn,9.8,10.4
215,Söderköping,4.4,5.9
216,Södertälje,6.7,11.3
217,Sölvesborg,8.1,8.3
218,Tanum,5.5,4.7
219,Tibro,8.1,8.6
220,Tidaholm,6.6,6.3
221,Tierp,6.1,7.6
222,Timrå,8.9,9.0
223,Tingsryd,5.3,6.4
224,Tjörn,3.3,3.0
225,Tomelilla,6.7,7.6
226,Torsby,6.7,6.1
227,Torsås,6.4,7.3
228,Tranemo,4.0,4.5
229,Tranås,4.7,7.4
230,Trelleborg,6.0,7.9
231,Trollhättan,8.6,11.5
232,Trosa,3.7,4.1
233,Tyresö,2.8,3.5
234,Täby,1.8,2.4
235,Töreboda,8.2,9.0
236,Uddevalla,6.7,7.5
237,Ulricehamn,5.0,4.5
238,Umeå,5.3,5.3
239,Upplands Väsby,3.8,5.1
240,Upplands-Bro,3.9,6.1
241,Uppsala,3.7,4.1
242,Uppvidinge,6.8,8.3
243,Vadstena,5.5,6.0
244,Vaggeryd,6.4,6.3
245,Valdemarsvik,5.9,7.4
246,Vallentuna,1.7,2.2
247,Vansbro,6.9,5.9
248,Vara,5.2,6.3
249,Varberg,4.0,4.1
250,Vaxholm,1.5,2.2
251,Vellinge,2.8,4.0
252,Vetlanda,5.5,5.5
253,Vilhelmina,8.8,10.8
254,Vimmerby,7.0,5.8
255,Vindeln,7.5,5.7
256,Vingåker,6.3,9.6
257,Vårgårda,6.0,5.7
258,Vänersborg,6.5,8.5
259,Vännäs,4.4,6.0
260,Värmdö,2.7,3.5
261,Värnamo,5.7,5.6
262,Västervik,7.1,7.5
263,Västerås,6.7,7.6
264,Växjö,5.9,7.2
265,Ydre,4.8,3.6
266,Ystad,5.3,5.6
267,Åmål,9.4,10.0
268,Ånge,8.1,9.5
269,Åre,4.1,4.4
270,Årjäng,5.2,6.2
271,Åsele,9.2,8.3
272,Åstorp,7.6,8.4
